hotspot_id,latitude,longitude,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,night_ratio,high_confidence_ratio,last_seen_date,days_since_last_seen,hits_7d,active_days_7d,hits_10d,active_days_10d,hits_15d,active_days_15d,hits_30d,active_days_30d,persistence_30d,distance_to_nearest_road_m,road_length_1km_m,building_count_1km,distance_to_nearest_building_m,building_count_500m,building_count_2500m,building_count_5000m,road_length_500m_m,road_length_2500m_m,road_length_5000m_m,industrial_area_count_500m,industrial_area_count_5000m,nearest_fire_station_id,nearest_fire_station_name,nearest_fire_station_latitude,nearest_fire_station_longitude,distance_to_nearest_fire_station_m,fire_station_data_available
883c8416cdfffff,21.9852,83.2334716666667,2.28166666666667,3.39,307.518333333333,315.85,284.785,291.61,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,183.660305618258,20995.8154647523,4.0,225.792305021758,4.0,4.0,8.0,6990.41653777268,62356.0346400277,140930.099779891,2.0,4.0,,,,,,False
883c8424b3fffff,21.801635,83.891965,1.31,1.43,305.545,305.92,289.505,290.04,1.0,0.0,2026-08-20,11,0,0,0,0,2,1,2,1,0.0333333333333333,798.338754787001,0.0,0.0,1139.48185333478,0.0,10.0,31.0,0.0,27490.4638884162,137748.916965815,0.0,5.0,,,,,,False
883c842587fffff,21.75785,83.83809,1.25,1.25,304.36,304.36,288.08,288.08,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,107.375444127364,0.0,0.0,2689.93629961059,0.0,0.0,2.0,1640.77815829835,13289.0595124526,76736.1776811069,2.0,6.0,,,,,,False
883c842589fffff,21.774615,83.82602,3.625,3.92,314.66,317.49,289.15,290.69,1.0,0.0,2026-08-09,22,0,0,0,0,0,0,1,1,0.0333333333333333,1710.40263693352,0.0,0.0,4502.0414353874,0.0,0.0,4.0,0.0,7813.18520993028,82899.0991916649,0.0,6.0,,,,,,False
883c842595fffff,21.763355,83.84876375,3.5075,7.29,319.86,336.0,289.115,296.0,0.625,0.0,2026-08-28,3,1,1,1,1,1,1,5,4,0.133333333333333,454.614747831132,0.0,0.0,3596.23613555643,0.0,0.0,8.0,212.699996227445,29103.1229295929,85329.8689557229,1.0,8.0,,,,,,False
883c8425b1fffff,21.753275,83.8463875,6.66,13.4,325.9425,334.17,286.8225,288.28,0.25,0.0,2026-08-26,5,2,1,2,1,2,1,3,2,0.0666666666666667,53.4449431108457,0.0,0.0,2489.6224820053,0.0,1.0,2.0,1000.64137997714,26016.5112029898,72629.8220103094,0.0,6.0,,,,,,False
883c8425b5fffff,21.7442569565217,83.8432678260869,7.97391304347826,20.84,334.584347826087,355.66,290.823043478261,298.35,0.347826086956522,0.0,2026-08-28,3,7,3,7,3,9,4,18,7,0.233333333333333,783.274963224137,0.0,0.0,1479.61951277737,0.0,2.0,2.0,0.0,21324.0965800609,69155.1217330987,1.0,6.0,,,,,,False
883c8425b9fffff,21.7568657142857,83.8437407142857,3.76785714285714,9.87,319.595,346.78,288.802142857143,297.01,0.642857142857143,0.0,2026-08-22,9,0,0,1,1,1,1,8,4,0.133333333333333,492.665257627581,0.0,0.0,2731.85035496657,0.0,0.0,3.0,57.9601519869467,21852.1262502114,77571.4096626259,1.0,6.0,,,,,,False
883c8425bbfffff,21.76157,83.85073,2.71,2.71,306.28,306.28,290.09,290.09,1.0,0.0,2026-08-09,22,0,0,0,0,0,0,1,1,0.0333333333333333,361.780152384511,0.0,0.0,3510.97714697213,0.0,0.0,8.0,859.290469011957,31222.3861825637,81482.4549103626,0.0,8.0,,,,,,False
883c8425bdfffff,21.7503884615385,83.8418069230769,6.59769230769231,23.16,327.939230769231,356.0,289.149230769231,296.25,0.461538461538462,0.0,2026-08-28,3,3,3,3,3,5,4,7,6,0.2,163.570757367339,0.0,0.0,1991.11450994922,0.0,2.0,2.0,870.789818591284,19619.3093151113,71133.1142473554,1.0,5.0,,,,,,False
